Tech (nm),Capacity (B),Rows,Output width (bits),Access time (ns),Area (mm2),Read energy (nJ),Write energy (nJ),Leakage power (mW)
32,16384,1024,128,1.53828,0.384772,0.108237,0.112932,4.13559
32,32768,2048,128,1.5595,0.434338,0.111763,0.131408,7.54649
32,49152,3072,128,1.57117,0.482314,0.115006,0.1496,10.9161
32,65536,4096,128,1.58336,0.531828,0.118658,0.168203,14.3232
32,81920,5120,128,1.59262,0.579864,0.121917,0.186412,17.6947
32,98304,6144,128,1.60158,0.627904,0.125181,0.204625,21.0655
32,114688,7168,128,1.61084,0.675882,0.128446,0.22284,24.4358
32,32768,1024,256,1.56806,0.729174,0.192388,0.248397,7.95856
32,65536,2048,256,1.59217,0.826778,0.199304,0.321578,14.7353
32,98304,3072,256,1.61057,0.92286,0.205832,0.39437,21.4776
32,131072,4096,256,1.63921,1.020844,0.212493,0.467296,28.2196
32,163840,5120,256,1.58628,1.116794,0.218692,0.539759,34.933
32,196608,6144,256,1.6032,1.21276,0.225171,0.612502,41.6465
32,229376,7168,256,1.62066,1.308738,0.231653,0.685248,48.3599
32,65536,1024,512,1.68852,1.352694,0.30206,0.860708,16.3446
32,131072,2048,512,1.73252,1.556238,0.315438,1.44299,31.2341
32,196608,3072,512,1.76541,1.755196,0.328366,2.02482,46.0088
32,262144,4096,512,1.80457,1.958088,0.342438,2.6078,60.7998
32,327680,5120,512,1.84221,2.15738,0.355508,3.18977,75.5745
32,393216,6144,512,1.88208,2.35674,0.368593,3.77176,90.3491
32,458752,7168,512,1.92413,2.55616,0.381688,4.35376,105.124
32,131072,1024,1024,1.44394,2.79712,0.694604,1.82216,30.9272
32,262144,2048,1024,1.51627,3.1833,0.721195,2.98655,57.7892
32,393216,3072,1024,1.59441,3.56714,0.74722,4.15039,84.643
32,524288,4096,1024,1.68958,3.954,0.773663,5.31464,111.59
32,655360,5120,1024,1.78598,4.33794,0.799695,6.47847,138.444
32,786432,6144,1024,1.89085,4.72192,0.825733,7.64232,165.298
32,917504,7168,1024,2.0042,5.10592,0.851775,8.80617,192.151
